Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_abi3_denovo6,None,None,None,None,None,None,0,0.36,49.5
2,meta_abi5_denovo6,None,None,None,None,None,None,0,0.32,70.5
3,meta_muster3,muster,5CWMA,1,0.084,0.94,unknown,0.14,0.191,0.194
4,meta_Unicon3d-5,None,None,None,None,None,None,0,0.39,33
5,meta_Unicon3d-4,None,None,None,None,None,None,0,0.39,33.5
6,meta_muster1,muster,5CWIA,1,0.135,0.957,unknown,0.139,0.19,0.193
7,meta_muster5,muster,5CWQA,1,0.135,0.932,unknown,0.139,0.19,0.194
8,meta_abi4_denovo3,None,None,None,None,None,None,0,0.37,44.5
9,meta_Unicon3d-2,None,None,None,None,None,None,0,0.47,11
10,meta_muster4,muster,5FWLE,1,0.101,0.957,unknown,0.147,0.188,0.188
11,meta_abi5_denovo1,None,None,None,None,None,None,0,0.38,39
12,meta_abi7_denovo4,None,None,None,None,None,None,0,0.3,80
13,meta_Unicon3d-6,None,None,None,None,None,None,0,0.25,102
14,meta_muster9,muster,5CWCA,1,0.11,0.83,unknown,0.135,0.187,0.19
15,meta_rapt7,rapt,2XMNA,1,0.093,0.813,0.03613,0.143,0.186,0.189
16,meta_abi6_denovo0,None,None,None,None,None,None,0,0.45,14.5
17,meta_abi7_denovo6,None,None,None,None,None,None,0,0.39,35
18,meta_abi6_denovo5,None,None,None,None,None,None,0,0.37,48
19,meta_muster7,muster,2CRBA,2,0.118,0.813,unknown,0.136,0.183,0.187
20,meta_abi2_denovo1,None,None,None,None,None,None,0,0.45,13.5
21,meta_abi3_denovo5,None,None,None,None,None,None,0,0.44,15.5
22,meta_Unicon3d-3,None,None,None,None,None,None,0,0.41,24
23,meta_rapt3,rapt,5BUNA,1,0.127,0.72,0.02606,0.137,0.182,0.184
24,meta_abi4_denovo7,None,None,None,None,None,None,0,0.32,71
25,meta_rapt9,rapt,4HWIB,1,0.084,0.813,0.0384,0.134,0.181,0.182
26,meta_abi4_denovo5,None,None,None,None,None,None,0,0.32,69
27,meta_abi4_denovo0,None,None,None,None,None,None,0,0.49,7
28,meta_abi2_denovo3,None,None,None,None,None,None,0,0.47,9.5
29,meta_Unicon3d-1,None,None,None,None,None,None,0,0.44,16.5
30,meta_abi3_denovo2,None,None,None,None,None,None,0,0.36,52.5
31,meta_center2,center,3U8VA,6,0.144,0.703,unknown,0.131,0.179,0.183
32,meta_abi6_denovo2,None,None,None,None,None,None,0,0.37,44
